"plot_id","owner_id","management","year_first_mes","N_census","area","x_min","x_max","y_min","y_max","elevation","GPS_loc","x_lamb93","y_lamb93","x0_z","y0_z","lat","long","slope","aspect","MAT","MAP","geol"
"Aillon","ONF","MAN",2001,3,1,NA,NA,NA,NA,1200,"GPS",943898.52,6508283.24,NA,NA,45.6305552579491,6.13123531491761,11.6152574061036,184.184916125118,6.4,1215,"moraine"
"Allinge","ONF","MAN",2000,2,1,NA,NA,NA,NA,1045,"MAP",966804.182,6581760.176,NA,NA,46.2830159141375,6.46633114081562,14.0793069137538,23.4985656759521,6.3,1284,"moraine"
"Araches","ONF","MAN",2000,3,0.5,NA,NA,NA,NA,1446,"MAP",981616.063,6557991.553,NA,NA,46.0631965075446,6.64425905525765,5.31353002985386,233.746162262555,5.1,1368,"moraine"
"aulp_du_seuil3","ONF","UNM",1994,2,0.25,0,50,0,50,1469,"GPS",926329.88,6480495.46,NA,NA,45.3865502174164,5.89283113820453,11.0660029661175,32.4711922908488,4.6,1323,"limestone"
"aulp_du_seuil4","ONF","UNM",1994,2,0.25,0,50,0,50,1527,"GPS",925884.61,6480117.95,NA,NA,45.3832999051567,5.88696866910512,6.37937020844285,63.4349488229208,4.5,1336,"limestone"
"aulp_du_seuil5","ONF","UNM",1994,2,0.25,0,50,0,50,1530,"GPS",926045.21,6480099.18,NA,NA,45.3830781243836,5.88901064950384,4.86682100115946,3.36646066342973,4.5,1336,"limestone"
"aulp_du_seuil7","ONF","UNM",1994,2,0.25,0,50,0,50,1499,"GPS",925953.24,6480434.8,NA,NA,45.3861284855803,5.88799307232432,9.66440874257837,93.3664606634303,5.5,1249,"limestone"
"Baudille","ONF","MAN",2001,2,1,NA,NA,NA,NA,1498,"GPS",921870.62,6412061.81,NA,NA,44.7722299295918,5.8048276962397,37.7901115590662,321.282492088162,5.1,1153,"limestone"
"Beaufort","ONF","MAN",2000,2,1,NA,NA,NA,NA,1216,"GPS",976693.38,6521225.59,NA,NA,45.7344877528523,6.55921385787825,9.83445533999301,236.768288932021,6.2,1206,"schist"
"Brevon","ONF","MAN",1999,3,0.25,NA,NA,NA,NA,800,"MAP",971888.817,6583073.181,NA,NA,46.2927989854675,6.53306639649323,5.49363449478016,81.0273733851037,7.7,1099,"clay"
"Chapitre1","IRSTEA","UNM",1994,4,0.25,0,50,0,50,1554,"GPS",938231.95,6396751.56,40,30,44.6290699677316,6.00411006862214,30.3358411525811,271.468800714386,4.6,1170,"conglomerate"
"Chapitre3","IRSTEA","UNM",1994,4,0.25,0,50,0,50,1517,"GPS",937920.67,6396775.3,10,20,44.6293900550773,6.0001999690437,24.3516776860953,45.8951737102108,4.6,1170,"marl"
"Chapitre4","IRSTEA","UNM",1994,4,0.25,0,50,0,50,1490,"GPS",938262.42,6397389.67,40,20,44.6348000500677,6.00479997821604,32.4869278663756,316.909152432997,6.1,1056,"conglomerate"
"Chartreuse","ONF","MAN",2001,2,1,NA,NA,NA,NA,1207,"GPS",918171.42,6478334.76,NA,NA,45.369748624583,5.78766762919309,14.6667567527351,263.418055344822,6.3,1186,"limestone"
"Chornais1","IRSTEA","MAN",1995,3,0.25,0,50,0,50,1461,"GPS",976504.73,6513876.07,0,0,45.6684499804037,6.55253996674567,34.3491137886812,286.578790775473,5.6,1256,"sandstone"
"Chornais2","IRSTEA","MAN",1995,3,0.25,0,50,0,50,1413,"GPS",976433.49,6513900.66,0,0,45.6687000332051,6.5516401082277,28.1644651112897,281.30993247402,5.6,1256,"sandstone"
"Chornais3","IRSTEA","MAN",1995,2,0.25,0,50,0,50,1544,"MAP",976621.93,6513883.64,0,0,45.6684706027409,6.5540480976262,31.2767430541143,290.224859431168,5.6,1256,"sandstone"
"Chornais4","IRSTEA","MAN",1995,3,0.25,0,50,0,50,1544,"GPS",976630.61,6513867.29,0,0,45.6683200060017,6.5541500192144,31.2767430541143,290.224859431168,5.6,1256,"sandstone"
"Corruaz1","IRSTEA","MAN",1994,2,0.25,0,50,0,50,1179,"GPS",1001331.57,6546556.45,25,25,45.9518728173043,6.89170064290796,37.8465400407101,148.150948680945,6.9,1084,"boulder"
"Cuine","ONF","MAN",2002,2,0.25,NA,NA,NA,NA,1281,"MAP",955162.112,6475410.716,NA,NA,45.3306898453129,6.25827464474471,37.292075735261,156.801409486352,6.5,1140,"moraine"
"Hugon36","ONF","MAN",2001,3,0.25,NA,NA,NA,NA,1154,"GPS",944078.84,6484690.27,NA,NA,45.4182100441,6.12158005163699,19.0511209420238,325.619655276155,7.3,1099,"boulder"
"Hugon41","ONF","MAN",2001,3,0.25,NA,NA,NA,NA,1154,"GPS",944078.76,6484690.75,NA,NA,45.4182143913843,6.1215792721209,19.0511209420238,325.619655276155,7.3,1099,"boulder"
"LaRaie2","IRSTEA","UNM",1994,3,0.25,0,50,0,50,1624,"GPS",1004669.73,6502286.48,25,25,45.5522299769351,6.90647999131532,41.9325962723455,223.64680804622,4.7,1280,"schist"
"Lente","ONF","MAN",2000,3,1,NA,NA,NA,NA,1323,"GPS",879682.14,6425593.37,NA,NA,44.9062163202121,5.27675289719897,10.8160055039452,276.009005957495,5.8,1123,"limestone"
"M̩audre","ONF","MAN",2003,2,1,0,110,0,90,1195,"GPS",898217.13,6447955.71,NA,NA,45.1024000054562,5.52049994471406,17.2234361911313,90,6.6,1119,"limestone"
"Miroir1","IRSTEA","MAN",1994,3,0.25,0,50,0,50,1263,"GPS",1002850.32,6507790.48,25,25,45.6025399444879,6.88666011294599,20.6545133588148,158.198590513648,5.6,1199,"moraine"
"Miroir3","IRSTEA","MAN",1994,3,0.25,0,50,0,50,1447,"GPS",1002741.79,6508076.45,25,25,45.6051599997132,6.88544997233255,35.7132192880593,185.988148375776,5.6,1199,"moraine"
"Montvernier","ONF","MAN",2002,2,0.5,NA,NA,NA,NA,1464,"GPS",961524.77,6477605.64,NA,NA,45.3480434146616,6.34061150955624,37.7103088025213,275.194428907735,5.9,1184,"boulder"
"Motte Servolex","ONF","UNM",2004,2,1.875,0,150,0,125,967,"MAP",920194.629,6501749.219,NA,NA,45.57980691543,5.82419303931366,7.14191975627348,208.610459665966,7.5,1135,"limestone"
"Moussoux","ONF","MAN",2001,3,0.5,0,50,0,50,1187,"GPS",998377.1,6542911.09,0,0,45.9203899630505,6.85131000104399,39.1435570497832,116.250242369689,6.3,1161,"boulder"
"NantGranges1","IRSTEA","MAN",1995,2,0.25,0,50,0,50,1239,"MAP",945144.1,6516126.6,0,0,45.7006814040167,6.15122590253121,10.8737044912979,218.65980825409,5.6,1307,"moraine"
"NantGranges2","IRSTEA","MAN",1995,3,0.25,0,25,0,100,1239,"MAP",945144.1,6516126.6,12.5,50,45.7006814040167,6.15122590253121,10.8737044912979,218.65980825409,5.6,1307,"moraine"
"NantGranges3","IRSTEA","MAN",1995,2,0.25,0,25,0,100,1239,"MAP",945144.1,6516126.6,12.5,50,45.7006814040167,6.15122590253121,10.8737044912979,218.65980825409,5.6,1307,"moraine"
"Orthaz1","IRSTEA","MAN",1994,2,0.25,0,50,0,50,1125,"GPS",1002109.85,6545166.89,25,25,45.9390294843228,6.90084996553704,25.6507043464829,328.626994859892,5.6,1233,"boulder"
"Orthaz3","IRSTEA","MAN",1994,2,0.25,0,50,0,50,1141,"MAP",1001995.397,6545086.479,0,0,45.9383571564931,6.89932331725216,33.1642396626459,328.134022306397,6.7,1107,"boulder"
"Percy","ONF","MAN",2001,2,1,NA,NA,NA,NA,1357,"GPS",906249.16,6410139.99,NA,NA,44.7597560986327,5.60669265175782,30.4738371038333,347.735226272108,6,1096,"boulder"
"Premol","IRSTEA","MAN",2001,5,0.8,0,80,0,100,1424,"GPS",924674.59,6449862.74,NA,NA,45.1114500093509,5.85752999827599,8.29380481769883,202.166345822084,5.7,1177,"boulder"
"Queige","IRSTEA","MAN",2002,3,0.5,0,100,0,50,1350,"GPS",969021.74,6516982.97,0,0,45.6993899399048,6.45826997935276,22.3622683499048,20.6375469846874,5.2,1317,"boulder"
"Roselend","IRSTEA","MAN",1999,3,0.5,NA,NA,NA,NA,1674,"GPS",983122.38,6517706.64,NA,NA,45.700194931029,6.63971173622469,30.5891576780012,141.869992308214,4.1,1400,"gneiss"
"Saint-martin22","ONF","MAN",2000,3,1,NA,NA,NA,NA,1327,"GPS",895021.49,6437061.6,NA,NA,45.0052699654652,5.47554998245046,1.46044511397323,78.6900675259794,5.7,1154,"limestone"
"Saint-martin28","ONF","MAN",2000,3,1,NA,NA,NA,NA,1205,"GPS",894622.67,6437034.67,NA,NA,45.0051400570253,5.47048008414053,19.858636379323,291.948699083526,6.2,1122,"limestone"
"Saint-martin47","ONF","MAN",2000,3,0.25,NA,NA,NA,NA,1160,"GPS",889948.22,6439713.58,NA,NA,45.0305499313155,5.4122199078557,2.59240624117478,96.3401917459101,6.8,1091,"limestone"
"Saint-martin5","ONF","MAN",2000,4,1,NA,NA,NA,NA,1410,"GPS",895241.18,6437747.43,NA,NA,45.0113799391271,5.47861001863854,22.1705188165719,263.65980825409,5.3,1179,"limestone"
"Sapine","ONF","MAN",2000,3,1,NA,NA,NA,NA,1140,"GPS",886349.2,6437104.58,NA,NA,45.0080499889907,5.36555000457254,26.2152715521516,279.940573033113,7.2,1066,"limestone"
"Seez-Ecudets","ONF","MAN",1999,3,1,NA,NA,NA,NA,1662,"GPS",996303.91,6511846.06,NA,NA,45.6418863582773,6.80528375370042,24.4981041685782,176.855042535302,3.5,1429,"moraine"
"Seez-Mont","ONF","MAN",1999,2,0.5,NA,NA,NA,NA,1351,"GPS",997867.15,6510647.58,NA,NA,45.6304270468406,6.82458344906859,37.4719951828138,352.50414236027,5.7,1201,"boulder"
"Sixt1","IRSTEA","UNM",1994,4,0.25,0,50,0,50,1500,"GPS",994978.59,6553966.42,0,0,46.0213100355975,6.81439996418558,26.8107172793179,297.072080237993,4.9,1344,"moraine"
"Sixt2","IRSTEA","UNM",1994,4,0.25,0,50,0,50,1489,"GPS",994993.71,6554038.3,0,0,46.0219499792123,6.81464004670152,30.7961479845754,310.236358309274,4.9,1344,"moraine"
"Sixt3","IRSTEA","UNM",1994,4,0.25,0,50,0,50,1513,"GPS",994971.75,6553851.57,0,0,46.0202800012741,6.8142399699262,32.1979015034345,259.939310204677,4.9,1344,"moraine"
"Sixt4","IRSTEA","UNM",1994,3,0.25,0,50,0,50,1693,"GPS",995307.24,6553833.33,0,0,46.0199699868632,6.81855999231012,24.4772675703066,308.758085652585,3.9,1469,"moraine"
"Thones","ONF","MAN",2002,3,0.8,0,115,0,70,1037,"MAP",958725.687,6536226.668,NA,NA,45.8765049521996,6.33652111466487,25.8338863092892,308.290163192243,7.5,1128,"greywacke"
"Tueda1","PNVanoise","UNM",1996,2,0.25,0,50,0,50,1839,"GPS",981131.36,6479992.68,0,0,45.3617690368698,6.5921110392454,32.2239436539604,221.784516008252,2.7,1462,"moraine"
"Tueda2","PNVanoise","UNM",1996,2,0.25,0,50,0,50,1942,"GPS",981453.67,6479972.78,0,0,45.3614579769176,6.59621204240699,27.3044287764363,225.784824602992,2.7,1462,"moraine"
"Tueda3","PNVanoise","UNM",1996,2,0.25,0,50,0,50,1901,"GPS",981472.5,6479834.68,0,0,45.3602080281852,6.59637199487628,34.8541022409711,237.907408671266,2.7,1462,"moraine"
"Tueda4","PNVanoise","UNM",1996,2,0.25,0,50,0,50,1933,"GPS",981313.27,6478693.25,0,0,45.3500059605486,6.59367704470031,29.250773425978,290.376435213836,3.7,1370,"conglomerate"
"Uriage","ONF","MAN",2001,3,1,NA,NA,NA,NA,904,"GPS",924932.07,6454516.28,NA,NA,45.153239295673,5.86294687668367,29.6983070336035,272.009553813021,8,1033,"boulder"
"Vercors1-RBI","IRSTEA","UNM",1997,3,0.25,0,50,0,50,1492,"GPS",894759.73,6425634.4,0,0,44.902507886644,5.46769776628101,15.0699557496377,211.328692867805,5.1,1175,"limestone"
"Vercors2-RBI","IRSTEA","UNM",1997,3,0.31,0,62.5,0,50,1452,"GPS",895186.73,6426202.5,0,0,44.9075000052189,5.47332991524804,14.8447520961571,54.2110265408168,5.1,1175,"limestone"
"Vercors3-RBI","IRSTEA","UNM",1997,3,0.25,0,50,0,50,1484,"GPS",895062.06,6426603.08,0,0,44.9111400049944,5.47191002935437,13.1404892259231,9.86580694308482,5.2,1173,"limestone"
"Vercors4-RBI","IRSTEA","UNM",1997,3,0.25,0,50,0,50,1484,"GPS",895042.44,6426599.13,0,0,44.9111099873339,5.47165999235864,13.1404892259231,9.86580694308482,5.2,1173,"limestone"
"Vercors5-RBI","IRSTEA","UNM",1997,2,0.31,0,50,0,50,1500,"GPS",895143.39,6429770.68,0,0,44.9396227361845,5.47419737010731,5.62483967518323,113.962488974578,5,1188,"limestone"
"Vercors6","IRSTEA","UNM",1997,3,0.25,0,60,0,50,1535,"GPS",894905.14,6420483.06,0,0,44.8561099332662,5.46750002330085,4.91666538321045,54.4623222080261,4.8,1188,"limestone"
"Voiron2","IRSTEA","MAN",2000,3,0.5,NA,NA,NA,NA,1114,"MAP",957675.79,6575356.74,NA,NA,46.228951750268,6.34435766647621,12.1370636731333,268.66778014613,6.2,1323,"boulder"
